en,tw,cn
Abstract,摘要；抽象的,摘要；抽象的
Abstraction,抽象,抽象
Access,存取 (win)；取用 (mac),访问
Accessibility,無障礙；協助工具 (win)；輔助功能 (mac),无障碍；辅助功能 (win/mac)
"Activate, Activation",啟用，啟動,激活
Active,使用中的；現行的；有效的；啟用的,使用中的；现用的；有效的；激活的
"Adapter, Adaptor",介面卡，配接器 (win)；轉接器 (mac),适配卡，适配器
Add,加入,添加
Address,位址，地址,位址，地址
Advanced,進階的,高级的
Aggregation,聚合,聚合
AI (Artificial intelligence),人工智慧,人工智能
Algorithm,演算法,算法
Allocate,配置,分配
Allocator,配置器,分配器
Annotation,註釋 (win)；註解 (mac)；詮釋 (web),注释 (win)；注解 (mac)
App bundle,應用程式套件組合 (win)；App 套件 (mac),应用程序包 (win)；App 捆绑包 (mac)
Application,應用；應用程式,应用；应用程序
Apply,套用,应用
Architecture,架構；結構,架构；结构
Argument,引數,参数（也称为实际参数，实参）
Arity,元數（所需運算元的數量）,参数数量
Artifact,成品 (win/mac)；產出物 (web),项目 (win)；成品 (mac)
Array,陣列,数组
Assembly language,組合語言,汇编语言
"Assert, Assertion",判斷提示 (win)；宣告 (win/mac)；聲明 (mac),断言 (win)；声明 (win/mac)；论断 (mac)
"Assign, Assignment",指派；（程式設計）賦值,分配；（编程）赋值
Assignment operator,指派運算子,赋值运算符
Asynchronize,非同步,异步
Asynchronous,非同步的,异步的
Atomic,不可分割的,原子的
Attribute,屬性,属性；特性
Audio,音訊；音效,音频
"Authenticate, Authentication",驗證，認證,验证，认证
"Authorize, Authorization",授權,授权
Autoboxing,自動裝箱,自动装箱
Background processes,背景程序，背景處理程序,后台进程
Bandwidth,頻寬,带宽
Base class,基底類別,基类
Batch,批次（處理）,批（处理）
Binary function,二元函式,二元函数
Binary operator,二元運算子,二元运算符
Binary search,二元搜尋法,二分查找
Binary tree,二元樹,二叉树
Bind,繫結 (win)；綁定 (mac),绑定
Bit,位元,位
Bitrate,位元率,码率
Block,封鎖；阻擋,屏蔽；阻止
Block,（程式碼）區塊,（代码）块
Blocker,封鎖程式 (win)；阻擋器 (mac),阻止程序 (win)；拦截器 (mac)
Boolean,布林,布尔
Bounce,退回；彈跳,退回；弹跳
Breakpoint,中斷點,断点
Build (verb),建構 (mac)；建置，組建 (win),构建
Build (noun),構件；版本（號）,构件；版本（号）
Build-in,內建,内置 (win)；内建 (mac)
Bundle (noun),組合包 (win)；套件 (mac)；套組,捆绑包
Bundle (verb),整合,整合
Bus,匯流排,总线
Burn,燒錄,刻录
Byte,位元組,字节
Cache,快取記憶體，快取,高速缓存，缓存
Call,呼叫,调用
Callback,回呼,回调
Carriage-return,回車字元,回車符
Certificate,憑證,证书
Character,字元,字符
Check,查看,查看
"Check box, Checkbox",核取方塊 (win)；註記框 (mac),复选框
Class,類別,类
Point & Click (noun),點按,点按
Click; (vs. Tap),點選 (win)；按一下，點/選按 (mac),点击 (win)；点按 (mac)
Tap; (vs. Click),輕觸 (win)；點一下 (mac),触碰 (win)；轻点 (mac)
Client-side,用戶端,客户端
Clipboard,剪貼簿 (win)；剪貼板 (mac),剪贴板
Clone,複製,克隆
Cloud computing,雲端運算,云计算
Cohesion,內聚,内聚
"Collaborate, Collaboration",（協同）合作,协作
Combo box,組合方塊；下拉式方塊 (win),组合框
Come with,隨附,随附
Command,指令,命令
Command line,命令列,命令行
Comment,留言,评论
註解，註釋,注释 (win)；注解，批注 (mac),
Commit,提交,提交
Communication,通訊,通信
Community,社群,社区
Compatibility,相容性,兼容性
Compatible,相容的,兼容的
"Compile, Compilation",編譯,编译
"Compile time, Compile-time",編譯期,编译期，编译时
Compiler,編譯器,编译器
Component,組件；元件,组件
Composition,組合,组合
Compress,壓縮,压缩
Concurrency,並行性，並行,并发性，并发
Concurrent,並行的；同時的,并发的；同时的
Configuration,配置；設定 (mac)；組態 (win),配置
"Connect, Connection",連接；（網路、資料庫）連線,连接
Constant,常數,常量
Constraint,約束；限制,约束；限制
Constructor,建構子，建構式，建構函式,构造函数
Container,容器,容器
Context,背景（關係）；環境；上下文；内容,背景（关系）；环境；上下文；内容
Continuous delivery,持續交付,持续交付
Continuous deployment,持續部署,持续部署
Continuous integration,持續整合,持续集成
Control,控制元件，控制項,控件
Copy,複製 (win)；拷貝 (mac),复制 (win)；拷贝 (mac)
Coroutine,協程，協同程式,协程，协同程序
Coupling,耦合,耦合
Crash,當機 (win/mac)；毀損 (win),崩溃 (win/mac)；故障 (win)
Create,建立,创建
Cursor,游標,光标
Custom,自訂,自定义
Data,資料,数据
Data link layer,資料連結層,数据链路层
Data structure,資料結構,数据结构
Database,資料庫,数据库
Database schema,資料庫綱要 (mac)；資料庫結構描述 (win),数据库架构，数据库模式
Deadlock,死結；鎖死,死锁
Debug,除錯 (win/mac)；偵錯 (win),调试
Debugger,除錯器,调试器
"Declare, Declaration",宣告，聲明,声明
Default,預設,默认
Definition,定義；解析度,定义；清晰度
"Delegate, Delegation",委派,委托
Dependency,相依性；依賴關係,依赖
