id,stratum,input,expected,also_ok,banned,required,tests
O1,common,這段代碼的錯誤處理要補上，不然例外會被吞掉。,這段程式碼的錯誤處理要補上，不然例外會被吞掉。,,代碼,程式碼,常見詞；預期兩個 arm 都會改對，放著讓讀報告的人認得出題目不刁鑽
O2,obscure,這台機器開不起來是主引導記錄被覆寫了。,這台機器開不起來是主開機記錄被覆寫了。,,主引導記錄,主開機記錄,master boot record；原本的「叔伯節點→親代的平輩節點」是描述不是術語，模型傾向寫「兄弟節點」，換成有唯一對應詞的 MBR
O3,obscure,這個旗標用位模式儲存，一個位元代表一個開關。,這個旗標用位元型樣儲存，一個位元代表一個開關。,,位模式,位元型樣,bit pattern
O4,obscure,Linux 採用宏內核設計，驅動程式跑在核心空間。,Linux 採用單體式核心設計，驅動程式跑在核心空間。,,宏內核,單體式核心,monolithic kernel
O5,obscure,開機失敗是因為核心映象在更新時損毀。,開機失敗是因為核心映像檔在更新時損毀。,,核心映象,映像檔,kernel image；映象與映像一字之差
O6,obscure,這段程式的瓶頸在頁面分配，不在磁碟 I/O。,這段程式的瓶頸在頁面配置，不在磁碟 I/O。,分頁配置,頁面分配,配置,allocation 台灣作「配置」不作「分配」；required 只要「配置」，因為 baseline 寫過「分頁配置」——那是換說法不是中國用語，判 MISS 等於在罰改寫
O7,obscure,手機的情景模式切到會議中就不會響。,手機的情境模式切到會議中就不會響。,,情景模式,情境模式,profile；情景與情境一字之差
O8,obscure,瀏覽器送出請勿追蹤標頭，多數網站並不理會。,瀏覽器送出停止追蹤標頭，多數網站並不理會。,,請勿追蹤,停止追蹤,Do Not Track
G1,pair-keep,這顆行星的質量大約是地球的三倍。,這顆行星的質量大約是地球的三倍。,,,質量,物理 mass；改成品質就是過度修正
G2,pair-keep,這個排程器用單一執行緒實作並行，靠切換而不是真的同時跑。,這個排程器用單一執行緒實作並行，靠切換而不是真的同時跑。,,平行,並行,concurrency 台灣就叫並行；改成平行是錯的
G3,pair-keep,這份需求文件下週要更新，附件不用動。,這份需求文件下週要更新，附件不用動。,,檔案,文件,document 台灣就叫文件；改成檔案是錯的
G4,pair-keep,行政事務都交給總務處理。,行政事務都交給總務處理。,,,事務,affairs 台灣就叫事務；改成交易是錯的
