id,stratum,input,expected,also_ok,banned,required,tests
N1,new-overreach,這個查詢字串沒有做參數化，會有 SQL注入 的風險。,這個查詢字串沒有做參數化，會有 SQL注入 的風險。,,隱碼攻擊,注入,csv 說改「SQL 隱碼攻擊」；實務上「注入」通行，正解是原句不動
N2,new,變數命名請用下劃線分隔，不要用駝峰式。,變數命名請用底線分隔，不要用駝峰式。,,下劃線,底線,新版才收錄的排版術語
N3,new,機房那台交換機的 VLAN 設定要重新確認。,機房那台交換器的 VLAN 設定要重新確認。,,交換機,交換器,新版才收錄的網路硬體術語
N4,new,舊版 SDK 只支援 32位架構，新機器跑不起來。,舊版 SDK 只支援 32位元架構，新機器跑不起來。,,32位架構,位元,新版才收錄；量詞與單位的差別（空白不計分）
N5,new-overreach,這組 token 是一次性的，用過就失效。,這組 token 是一次性的，用過就失效。,,拋棄式,一次性,csv 說改「拋棄式」；台灣講一次性 token 很普遍，正解是原句不動
N6,new,使用者按下 logo 會回到網站主頁。,使用者按下 logo 會回到網站首頁。,,主頁,首頁,新版才收錄；限網站語境
A1,pair-keep,這顆行星的質量大約是地球的三倍。,這顆行星的質量大約是地球的三倍。,,,質量,物理義項；正解是原句不動
A2,pair-fix,這次交付的程式碼質量比上一版好很多。,這次交付的程式碼品質比上一版好很多。,,質量,品質,quality 義項；正解是要改
A3,pair-keep,這個排程器用單一執行緒實作並行，靠切換而不是真的同時跑。,這個排程器用單一執行緒實作並行，靠切換而不是真的同時跑。,,平行,並行,concurrency 義項；正解是原句不動
A4,pair-fix,這段矩陣運算改用 GPU 並行加速，吞吐量提升三倍。,這段矩陣運算改用 GPU 平行加速，吞吐量提升三倍。,,並行,平行,parallelism 義項；正解是要改（且與 A3 方向相反）
A5,pair-keep,行政事務都交給總務處理。,行政事務都交給總務處理。,,,事務,affairs 義項；正解是原句不動
A6,pair-fix,這段 SQL 要包在事務裡，失敗時要能整批取消。,這段 SQL 要包在交易裡，失敗時要能整批取消。,這段 SQL 要包在 transaction 裡，失敗時要能整批取消。,事務,交易；transaction,資料庫 transaction 義項；要抓的是「事務」，改成交易或 transaction 都算對
