en,tw,cn,type,clues,avoid_clues,note
Abstract,摘要；抽象的,摘要；抽象的,glossary,,,
Abstraction,抽象,抽象,glossary,,,
Access,存取 (win)；取用 (mac),访问,glossary,,,
Accessibility,無障礙；協助工具 (win)；輔助功能 (mac),无障碍；辅助功能 (win/mac),glossary,,,
"Activate, Activation",啟用，啟動,激活,glossary,,,
Active,使用中的；現行的；有效的；啟用的,使用中的；现用的；有效的；激活的,glossary,,,
"Adapter, Adaptor",介面卡，配接器 (win)；轉接器 (mac),适配卡，适配器,glossary,,,
Add,加入,添加,glossary,,,
Address,位址，地址,位址，地址,glossary,,,
Advanced,進階的,高级的,glossary,,,
Aggregation,聚合,聚合,glossary,,,
AI (Artificial intelligence),人工智慧,人工智能,glossary,,,
Algorithm,演算法,算法,glossary,,,
Allocator,配置器,分配器,glossary,,,
Annotation,註釋 (win)；註解 (mac)；詮釋 (web),注释 (win)；注解 (mac),glossary,,,
App bundle,應用程式套件組合 (win)；App 套件 (mac),应用程序包 (win)；App 捆绑包 (mac),glossary,,,
Application,應用；應用程式,应用；应用程序,glossary,,,
Apply,套用,应用,glossary,,,
Architecture,架構；結構,架构；结构,glossary,,,
Argument,引數,参数（也称为实际参数，实参）,glossary,,,
Arity,元數（所需運算元的數量）,参数数量,glossary,,,
Artifact,成品 (win/mac)；產出物 (web),项目 (win)；成品 (mac),glossary,,,
Array,陣列,数组,glossary,,,
Assembly language,組合語言,汇编语言,glossary,,,
"Assert, Assertion",判斷提示 (win)；宣告 (win/mac)；聲明 (mac),断言 (win)；声明 (win/mac)；论断 (mac),glossary,,,
"Assign, Assignment",指派；（程式設計）賦值,分配；（编程）赋值,glossary,,,
Assignment operator,指派運算子,赋值运算符,glossary,,,
Asynchronize,非同步,异步,glossary,,,
Asynchronous,非同步的,异步的,glossary,,,
Atomic,不可分割的,原子的,glossary,,,
Attribute,屬性,属性；特性,glossary,,,
Audio,音訊；音效,音频,glossary,,,
"Authenticate, Authentication",驗證，認證,验证，认证,glossary,,,
"Authorize, Authorization",授權,授权,glossary,,,
Autoboxing,自動裝箱,自动装箱,glossary,,,
